variable,count,mean,sd,min,q1,median,q3,max
index,198,118.86414141414141,10.837052300260469,99.3,110.4,120.8,127,136.8
monthly_change_pct,197,0.1633964837210358,0.3573545711632009,-2.5430680885972223,0.073152889539152,0.15898251192369983,0.30090270812437314,1.17647058823529
yoy_inflation_pct,186,2.0027182022640777,1.3853304508925994,-2.463054187192115,1.2364671556765405,1.9074977304688434,3.2210811536955486,4.467912266450047
