member,model_family,selected_variant,model_specification,model,MAE,RMSE,MAPE,MASE,Ljung_Box_lag,Ljung_Box_p_value,Ljung_Box_acceptable,Ljung_Box_decision,Residual_ACF_spike_count,Residual_ACF_spike_lags,Residual_ACF_has_consecutive_spikes,Residual_ACF_pattern,Residual_ACF_acceptable,Residuals_acceptable,Diagnostic_note,Training_RMSE,Test_RMSE,RMSE_ratio,Training_MAPE,Test_MAPE,Overfitting_acceptable,Overfitting_assessment,model_key,p,d,q,P,D,Q,seasonal_period,includes_drift,includes_mean,Fourier_K,Final_eligible
Member D,TBATS,TBATS (annual seasonality = 12),TBATS (annual seasonality = 12),TBATS (annual seasonality = 12),0.2249553785070396,0.25355378265447664,0.1660949383336817,0.0859311132086918,24,0.07061229172344141,Yes,Yes,2,"15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 2 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.40963067799970687,0.25355378265447664,0.6189814295467834,0.2205358328785897,0.1660949383336817,Yes,No strong overfitting warning from the training-versus-test RMSE comparison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes
Steven,ARIMA/SARIMA,"SARIMA(2,1,2)(1,0,1)[12] with drift","ARIMA(2,1,2)(1,0,1)[12] with drift","ARIMA(2,1,2)(1,0,1)[12] with drift",0.6433926559299137,0.7186463712227765,0.474304373531737,0.24577072804962596,24,0.14602121354347763,Yes,Yes,2,"15, 22",No,Few isolated spikes,Yes,Yes,"The Ljung-Box test did not detect significant overall residual autocorrelation. 2 isolated ACF spikes were observed, but they did not form a consecutive pattern.",0.4056969312692319,0.7186463712227765,1.7713872495275609,0.2153184000588512,0.474304373531737,No,Possible overfitting: test RMSE is substantially higher than training RMSE,sarima_221_101_drift,2,1,2,1,0,1,12,Yes,No,0,Yes
