model,AICc,Ljung_Box_lag,Ljung_Box_p_value,Ljung_Box_acceptable,Residual_ACF_acceptable,Residual_ACF_spike_lags,Validation_MAE,Validation_RMSE,Validation_MAPE,Validation_MASE,Residuals_acceptable
auto.arima selected model,194.4440042017789,24,0.15637342616355754,Yes,No,"15, 22",0.29263634140760786,0.33570298979013624,0.219307743508962,0.11048225861468254,No
"SARIMA(1,1,1)(1,1,1)[12]",210.93983764055574,24,0.037109001788767415,No,No,"7, 15, 22",0.39754483873131363,0.45527479730032133,0.2977793851027718,0.1500895325316673,No
"SARIMA(0,1,1)(0,1,1)[12]",208.40604773219604,24,0.054434676517470804,Yes,No,"7, 15, 22",0.42897961780788546,0.4917383060305699,0.32132118375602564,0.16195745493230915,No
"SARIMA(1,1,0)(1,1,0)[12]",259.17174431899934,24,1.285957229590906e-9,No,No,"2, 7, 12, 15, 17, 22, 24",0.38966760436974585,0.4974288943049388,0.2912854784746614,0.1471155524726049,No
"SARIMA(1,1,0)(0,1,1)[12]",214.17983691272076,24,0.0063262665820815744,No,No,"2, 7, 15, 22",0.4420093542153438,0.5096268343205206,0.33108372626969845,0.1668767164995006,No
"SARIMA(1,1,1)(1,1,0)[12]",254.10160954903702,24,8.23513456871261e-7,No,No,"7, 12, 15, 22, 24",0.4265447278657722,0.5457987025581489,0.3188155558206099,0.16103818380217924,No
