,count,mean,std,min,25%,50%,75%,max
index,198.0,118.8641414141414,10.837052300260469,99.3,110.4,120.8,127.0,136.8
monthly_change_pct,197.0,0.16339648372103577,0.35735457116320096,-2.5430680885972223,0.073152889539152,0.15898251192369983,0.30090270812437314,1.17647058823529
yoy_inflation_pct,186.0,2.0027182022640777,1.3853304508925994,-2.463054187192115,1.2364671556765405,1.9074977304688434,3.2210811536955486,4.467912266450047
