model,MAE,RMSE,MAPE (%)
SARIMA,0.5768796871020143,0.613802317288767,0.42488309395584095
Holt-Winters,0.6118434136509663,0.6487700263057107,0.45059774155345167
Trend + Monthly Dummies,0.6177374551971511,0.653363326655513,0.45507832332454456
Seasonal Naive,1.4916666666666696,1.5074813431681369,1.0979261214958178
